CaseID,ThermoID,ThermoValue
187,THERMOg,16
187,THERMOh,35
189,THERMOa,61
189,THERMOb,59
189,THERMOc,58
189,THERMOd,58
189,THERMOe,57
189,THERMOf,46
189,THERMOg,55
189,THERMOh,53
190,THERMOa,1
190,THERMOb,44
190,THERMOc,40
190,THERMOd,1
190,THERMOe,28
190,THERMOf,31
190,THERMOg,55
190,THERMOh,53
192,THERMOa,50
192,THERMOb,1
192,THERMOc,20
192,THERMOd,54
192,THERMOe,6
192,THERMOf,11
192,THERMOg,50
192,THERMOh,35
193,THERMOa,1
193,THERMOb,53
193,THERMOc,58
193,THERMOd,27
193,THERMOe,33
193,THERMOf,1
193,THERMOg,55
193,THERMOh,1
194,THERMOa,42
194,THERMOb,28
194,THERMOc,43
194,THERMOd,49
194,THERMOe,57
194,THERMOf,37
194,THERMOg,31
194,THERMOh,38
195,THERMOa,26
195,THERMOb,55
195,THERMOc,49
195,THERMOd,46
195,THERMOe,50
195,THERMOf,31
195,THERMOg,21
195,THERMOh,23
197,THERMOa,50
197,THERMOb,1
197,THERMOc,17
197,THERMOd,58
197,THERMOe,1
197,THERMOf,31
197,THERMOg,45
197,THERMOh,42
199,THERMOa,1
199,THERMOb,1
199,THERMOc,18
199,THERMOd,27
199,THERMOe,1
199,THERMOf,1
199,THERMOg,31
199,THERMOh,23
200,THERMOa,33
200,THERMOb,1
200,THERMOc,1
200,THERMOd,58
200,THERMOe,1
200,THERMOf,31
200,THERMOg,55
200,THERMOh,53
203,THERMOa,26
203,THERMOb,9
203,THERMOc,23
203,THERMOd,46
203,THERMOe,19
203,THERMOf,34
203,THERMOg,31
203,THERMOh,35
205,THERMOa,1
205,THERMOb,40
205,THERMOc,52
205,THERMOd,46
205,THERMOe,45
205,THERMOf,36
205,THERMOg,36
205,THERMOh,35
207,THERMOa,19
207,THERMOb,1
207,THERMOc,18
207,THERMOd,27
207,THERMOe,28
207,THERMOf,13
207,THERMOg,18
207,THERMOh,15
208,THERMOa,46
208,THERMOb,28
208,THERMOc,29
208,THERMOd,53
208,THERMOe,28
208,THERMOf,37
208,THERMOg,55
208,THERMOh,53
209,THERMOa,33
209,THERMOb,28
209,THERMOc,41
209,THERMOd,53
209,THERMOe,41
209,THERMOf,34
209,THERMOg,52
209,THERMOh,31
213,THERMOa,17
213,THERMOb,48
213,THERMOc,52
213,THERMOd,38
213,THERMOe,50
213,THERMOf,31
213,THERMOg,31
213,THERMOh,23
214,THERMOa,19
214,THERMOb,35
214,THERMOc,36
214,THERMOd,27
214,THERMOe,33
214,THERMOf,31
214,THERMOg,25
214,THERMOh,23
217,THERMOa,17
217,THERMOb,48
217,THERMOc,52
217,THERMOd,38
217,THERMOe,57
217,THERMOf,36
217,THERMOg,21
217,THERMOh,35
218,THERMOa,33
218,THERMOb,28
218,THERMOc,58
218,THERMOd,58
218,THERMOe,41
218,THERMOf,29
218,THERMOg,55
218,THERMOh,53
220,THERMOa,61
220,THERMOb,59
220,THERMOc,58
220,THERMOd,58
220,THERMOe,57
220,THERMOf,46
220,THERMOg,55
220,THERMOh,53
224,THERMOa,1
224,THERMOb,40
224,THERMOc,36
224,THERMOd,58
224,THERMOe,41
224,THERMOf,34
224,THERMOg,31
224,THERMOh,38
227,THERMOa,61
227,THERMOb,1
227,THERMOc,29
227,THERMOd,58
227,THERMOe,28
227,THERMOf,1
227,THERMOg,31
227,THERMOh,23
229,THERMOa,46
229,THERMOb,46
229,THERMOc,44
229,THERMOd,54
229,THERMOe,38
229,THERMOf,34
229,THERMOg,36
229,THERMOh,28
230,THERMOa,1
230,THERMOb,59
230,THERMOc,58
230,THERMOd,58
230,THERMOe,57
230,THERMOf,46
230,THERMOg,52
230,THERMOh,42
231,THERMOa,14
231,THERMOb,47
231,THERMOc,43
231,THERMOd,27
231,THERMOe,53
231,THERMOf,26
231,THERMOg,10
231,THERMOh,19
232,THERMOa,34
232,THERMOb,28
232,THERMOc,50
232,THERMOd,44
232,THERMOe,43
232,THERMOf,33
232,THERMOg,48
232,THERMOh,32
234,THERMOa,26
234,THERMOb,47
234,THERMOc,41
234,THERMOd,38
234,THERMOe,41
234,THERMOf,39
234,THERMOg,38
234,THERMOh,42
238,THERMOa,11
238,THERMOb,9
238,THERMOc,20
238,THERMOd,17
238,THERMOe,17
238,THERMOf,29
238,THERMOg,31
238,THERMOh,23
239,THERMOa,50
239,THERMOb,28
239,THERMOc,29
239,THERMOd,46
239,THERMOe,28
239,THERMOf,39
239,THERMOg,50
239,THERMOh,42
241,THERMOa,17
241,THERMOb,52
241,THERMOc,47
241,THERMOd,23
241,THERMOe,38
241,THERMOf,42
241,THERMOg,41
241,THERMOh,42
244,THERMOa,19
244,THERMOb,17
244,THERMOc,29
244,THERMOd,54
244,THERMOe,28
244,THERMOf,31
244,THERMOg,50
244,THERMOh,53
245,THERMOa,21
245,THERMOb,40
245,THERMOc,47
245,THERMOd,38
245,THERMOe,50
245,THERMOf,39
245,THERMOg,36
245,THERMOh,42
249,THERMOa,33
249,THERMOb,28
249,THERMOc,29
249,THERMOd,58
249,THERMOe,11
249,THERMOf,1
249,THERMOg,45
249,THERMOh,28
250,THERMOa,1
250,THERMOb,59
250,THERMOc,58
250,THERMOd,46
250,THERMOe,57
250,THERMOf,1
250,THERMOg,1
250,THERMOh,1
251,THERMOa,33
251,THERMOb,17
251,THERMOc,11
251,THERMOd,42
251,THERMOe,1
251,THERMOf,31
251,THERMOg,31
251,THERMOh,38
261,THERMOa,33
261,THERMOb,28
261,THERMOc,29
261,THERMOd,27
261,THERMOe,28
261,THERMOf,31
261,THERMOg,31
261,THERMOh,23
262,THERMOa,33
262,THERMOb,28
262,THERMOc,36
262,THERMOd,15
262,THERMOe,21
262,THERMOf,16
262,THERMOg,16
262,THERMOh,53
263,THERMOa,39
263,THERMOb,14
263,THERMOc,29
263,THERMOd,53
263,THERMOe,17
263,THERMOf,37
263,THERMOg,52
263,THERMOh,46
264,THERMOa,28
264,THERMOb,40
264,THERMOc,32
264,THERMOd,42
264,THERMOe,41
264,THERMOf,33
264,THERMOg,33
264,THERMOh,28
266,THERMOa,24
266,THERMOb,21
266,THERMOc,29
266,THERMOd,33
266,THERMOe,21
266,THERMOf,11
266,THERMOg,10
266,THERMOh,10
270,THERMOa,33
270,THERMOb,28
270,THERMOc,58
270,THERMOd,58
270,THERMOe,28
270,THERMOf,31
270,THERMOg,55
270,THERMOh,53
271,THERMOa,50
271,THERMOb,23
271,THERMOc,41
271,THERMOd,53
271,THERMOe,45
271,THERMOf,21
271,THERMOg,31
271,THERMOh,23
272,THERMOa,1
272,THERMOb,43
272,THERMOc,29
272,THERMOd,27
272,THERMOe,41
272,THERMOf,31
272,THERMOg,1
272,THERMOh,23
275,THERMOa,50
275,THERMOb,1
275,THERMOc,1
275,THERMOd,58
275,THERMOe,11
275,THERMOf,31
275,THERMOg,45
275,THERMOh,42
276,THERMOa,6
276,THERMOb,45
276,THERMOc,33
276,THERMOd,48
276,THERMOe,28
276,THERMOf,27
276,THERMOg,31
276,THERMOh,23
277,THERMOa,33
277,THERMOb,28
277,THERMOc,29
277,THERMOd,1
277,THERMOe,28
277,THERMOf,31
277,THERMOg,31
277,THERMOh,53
279,THERMOa,1
279,THERMOb,59
279,THERMOc,29
279,THERMOd,54
279,THERMOe,45
279,THERMOf,31
279,THERMOg,18
279,THERMOh,42
280,THERMOa,17
280,THERMOb,47
280,THERMOc,47
280,THERMOd,49
280,THERMOe,41
280,THERMOf,31
280,THERMOg,36
280,THERMOh,46
281,THERMOa,21
281,THERMOb,18
281,THERMOc,29
281,THERMOd,27
281,THERMOe,28
281,THERMOf,31
281,THERMOg,31
281,THERMOh,23
283,THERMOa,1
283,THERMOb,28
283,THERMOc,29
283,THERMOd,10
283,THERMOe,50
283,THERMOf,31
283,THERMOg,1
283,THERMOh,17
284,THERMOa,46
284,THERMOb,9
284,THERMOc,17
284,THERMOd,53
284,THERMOe,11
284,THERMOf,31
284,THERMOg,45
284,THERMOh,23
286,THERMOa,61
286,THERMOb,17
286,THERMOc,43
286,THERMOd,58
286,THERMOe,26
286,THERMOf,16
286,THERMOg,55
286,THERMOh,53
288,THERMOa,50
288,THERMOb,23
288,THERMOc,29
288,THERMOd,54
288,THERMOe,28
288,THERMOf,37
288,THERMOg,52
288,THERMOh,53
291,THERMOa,1
291,THERMOb,43
291,THERMOc,29
291,THERMOd,30
291,THERMOe,39
291,THERMOf,1
291,THERMOg,4
291,THERMOh,1
293,THERMOa,17
293,THERMOb,43
293,THERMOc,20
293,THERMOd,46
293,THERMOe,45
293,THERMOf,37
293,THERMOg,45
293,THERMOh,38
294,THERMOa,46
294,THERMOb,18
294,THERMOc,29
294,THERMOd,42
294,THERMOe,28
294,THERMOf,31
294,THERMOg,42
294,THERMOh,23
297,THERMOa,11
297,THERMOb,47
297,THERMOc,47
297,THERMOd,17
297,THERMOe,41
297,THERMOf,31
297,THERMOg,16
297,THERMOh,23
298,THERMOa,1
298,THERMOb,55
298,THERMOc,52
298,THERMOd,16
298,THERMOe,38
298,THERMOf,31
298,THERMOg,31
298,THERMOh,38
299,THERMOa,19
299,THERMOb,47
299,THERMOc,49
299,THERMOd,42
299,THERMOe,33
299,THERMOf,31
299,THERMOg,31
299,THERMOh,23
301,THERMOa,47
301,THERMOb,1
301,THERMOc,29
301,THERMOd,53
301,THERMOe,18
301,THERMOf,1
301,THERMOg,52
301,THERMOh,43
303,THERMOa,11
303,THERMOb,28
303,THERMOc,26
303,THERMOd,35
303,THERMOe,35
303,THERMOf,26
303,THERMOg,18
303,THERMOh,19
304,THERMOa,11
304,THERMOb,31
304,THERMOc,41
304,THERMOd,26
304,THERMOe,31
304,THERMOf,31
304,THERMOg,25
304,THERMOh,23
305,THERMOa,33
305,THERMOb,59
305,THERMOc,29
305,THERMOd,38
305,THERMOe,28
305,THERMOf,31
305,THERMOg,16
305,THERMOh,14
306,THERMOa,39
306,THERMOb,35
306,THERMOc,36
306,THERMOd,38
306,THERMOe,33
306,THERMOf,34
306,THERMOg,36
306,THERMOh,28
307,THERMOa,11
307,THERMOb,9
307,THERMOc,58
307,THERMOd,58
307,THERMOe,57
307,THERMOf,46
307,THERMOg,31
