CaseID,StructureID,StructureValue
24,JOKE1_order,order 2
24,CHOICE1_order,order 1
24,WOMENOPPS_order,order 1
24,FAIRTRT_order,order 2
24,TALKREL_order,order 1
25,SOCTRUST2_order,order 2
25,CONGPOST_order,order 2
25,GSSTRUST3_order,order 1
25,POLCRCT_order,order 2
25,ECONFAIR2_order,order 1
25,IMMCULT2_order,order 2
25,GSSTRUST2_order,order 1
25,SNSSKEP_order,order 2
25,QBELIEF3_order,order 2
25,QBELIEF4_order,order 2
25,TWKNOW_order,order 2
25,TWAUTO_order,order 2
25,JOKE1_order,order 2
25,CHOICE1_order,order 1
25,WOMENOPPS_order,order 2
25,FAIRTRT_order,order 2
25,TALKREL_order,order 2
26,SOCTRUST2_order,order 1
26,CONGPOST_order,
26,GSSTRUST3_order,order 1
26,POLCRCT_order,order 1
26,ECONFAIR2_order,order 2
26,IMMCULT2_order,order 1
26,GSSTRUST2_order,order 2
26,SNSSKEP_order,order 2
26,QBELIEF3_order,order 1
26,QBELIEF4_order,order 1
26,TWKNOW_order,order 2
26,TWAUTO_order,order 1
26,JOKE1_order,order 2
26,CHOICE1_order,order 2
26,WOMENOPPS_order,order 1
26,FAIRTRT_order,order 2
26,TALKREL_order,order 1
30,SOCTRUST2_order,order 2
30,CONGPOST_order,order 2
30,GSSTRUST3_order,order 2
30,POLCRCT_order,order 1
30,ECONFAIR2_order,order 2
30,IMMCULT2_order,order 1
30,GSSTRUST2_order,order 1
30,SNSSKEP_order,order 2
30,QBELIEF3_order,order 2
30,QBELIEF4_order,order 2
30,TWKNOW_order,order 1
30,TWAUTO_order,order 1
30,JOKE1_order,order 2
30,CHOICE1_order,order 2
30,WOMENOPPS_order,order 2
30,FAIRTRT_order,order 1
30,TALKREL_order,order 2
32,SOCTRUST2_order,order 1
32,CONGPOST_order,order 2
32,GSSTRUST3_order,order 2
32,POLCRCT_order,order 2
32,ECONFAIR2_order,order 2
32,IMMCULT2_order,order 2
32,GSSTRUST2_order,order 1
32,SNSSKEP_order,order 2
32,QBELIEF3_order,order 2
32,QBELIEF4_order,order 2
32,TWKNOW_order,order 1
32,TWAUTO_order,order 1
32,JOKE1_order,order 2
32,CHOICE1_order,order 2
32,WOMENOPPS_order,order 1
32,FAIRTRT_order,order 2
32,TALKREL_order,order 1
35,SOCTRUST2_order,order 2
35,CONGPOST_order,order 1
35,GSSTRUST3_order,order 2
35,POLCRCT_order,order 2
35,ECONFAIR2_order,order 1
35,IMMCULT2_order,order 1
35,GSSTRUST2_order,order 1
35,SNSSKEP_order,order 2
35,QBELIEF3_order,order 2
35,QBELIEF4_order,order 2
35,TWKNOW_order,order 2
35,TWAUTO_order,order 2
35,JOKE1_order,order 1
35,CHOICE1_order,order 2
35,WOMENOPPS_order,order 1
35,FAIRTRT_order,order 1
35,TALKREL_order,order 1
36,SOCTRUST2_order,order 2
36,CONGPOST_order,
36,GSSTRUST3_order,order 2
36,POLCRCT_order,order 2
36,ECONFAIR2_order,order 1
36,IMMCULT2_order,order 2
36,GSSTRUST2_order,order 2
36,SNSSKEP_order,order 2
36,QBELIEF3_order,order 2
36,QBELIEF4_order,order 2
36,TWKNOW_order,order 1
36,TWAUTO_order,order 1
36,JOKE1_order,order 2
36,CHOICE1_order,order 2
